,item,source_id,class,country,analyser,timestamp,menu,title,count
32,9006,16466,9006024,afghanistan,Sax,2025-01-04 03:23:44+00:00,numeric,unusual value of {{0.key}}: use abbreviation for unit and space between value and unit,226
33,1070,16474,3,afghanistan,Osmosis_Highway_VS_Building,2025-01-04 03:23:44+00:00,objects overlap,Tree and highway too close,185
34,5010,16466,903,afghanistan,Sax,2025-01-04 03:23:44+00:00,orthograph,Too many spaces,184
35,4020,16466,101,afghanistan,Sax,2025-01-04 03:23:44+00:00,on junction=roundabout,Unneeded tag on junction=roundabout,182
36,1070,440857,12,afghanistan,Osmosis_Polygon_Intersects,2025-01-04 03:23:44+00:00,objects overlap,Bad intersection with major highway,146
37,2060,16478,19,afghanistan,Osmosis_Relation_AssociatedStreet,2025-01-04 03:23:44+00:00,street numbers,"Tag ""addr:street"" not matching a street name around",146
38,4110,16466,41108,afghanistan,Sax,2025-01-04 03:23:44+00:00,incorrect layer,Long Waterway/water underground and no tunnel,142
39,9100,16466,91003,afghanistan,Sax,2025-01-04 03:23:44+00:00,power transformer,Power Transformers should have a frequency tag,142
40,5030,16466,705,afghanistan,Sax,2025-01-04 03:23:44+00:00,two names,The name tag contains two names,131
41,1070,16474,6,afghanistan,Osmosis_Highway_VS_Building,2025-01-04 03:23:44+00:00,objects overlap,Power object intersecting building,130
42,9006,16466,9006021,afghanistan,Sax,2025-01-04 03:23:44+00:00,numeric,Unnecessary amount of decimal places,125
43,3040,16466,30404,afghanistan,Sax,2025-01-04 03:23:44+00:00,incorrect tag,Uncommon access value,122
44,3040,16466,3040,afghanistan,Sax,2025-01-04 03:23:44+00:00,incorrect tag,Bad tag value,119
45,1170,16466,11704,afghanistan,Sax,2025-01-04 03:23:44+00:00,multipolygon,This multipolygon is a simple polygon,113
46,3161,16500,2,afghanistan,Osmosis_Parking_highway,2025-01-04 03:23:44+00:00,parking lane,Missing access way to parking,108
47,9010,16466,9010001,afghanistan,Sax,2025-01-04 03:23:44+00:00,unnecessary,unnecessary tag,101
48,9003,16466,9003003,afghanistan,Sax,2025-01-04 03:23:44+00:00,geometry,{{0.key}}={{0.value}} on a node. Should be drawn as an area.,97
49,1070,16474,8,afghanistan,Osmosis_Highway_VS_Building,2025-01-04 03:23:44+00:00,objects overlap,Highway intersecting highway,94
50,1190,33546,30,afghanistan,Osmosis_Way_Approximate,2025-01-04 03:23:44+00:00,approximate way,Approximate geometry of highway,93
51,3200,16466,32003,afghanistan,Sax,2025-01-04 03:23:44+00:00,area,Redundant area negation,93
52,4010,16466,40102,afghanistan,Sax,2025-01-04 03:23:44+00:00,disused,Deprecated value,91
53,3060,16466,30601,afghanistan,Sax,2025-01-04 03:23:44+00:00,similar values,Similar values,91
54,2090,445815,10,afghanistan,Osmosis_Highway_Long_Crossing,2025-01-04 03:23:44+00:00,highway crossing,Long crossing,90
55,1170,16484,2,afghanistan,Osmosis_Relation_Multipolygon,2025-01-04 03:23:44+00:00,multipolygon,Inconsistent multipolygon nature with members nature,90
56,4090,16486,1,afghanistan,Osmosis_Node_Like_Way,2025-01-04 03:23:44+00:00,unwanted tag on node,Way node tagged like way,82
57,3031,16466,30317,afghanistan,Sax,2025-01-04 03:23:44+00:00,wikipedia,Same wikipedia topic on other language,81
58,7040,16476,2,afghanistan,Osmosis_Powerline,2025-01-04 03:23:44+00:00,power lines,Unfinished power major line,77
59,5010,16466,50109001,afghanistan,Sax,2025-01-04 03:23:44+00:00,orthograph,Arabic letter detected in Farsi name,71
60,2060,16466,10,afghanistan,Sax,2025-01-04 03:23:44+00:00,street numbers,Invalid addr:housenumber value,66
61,2060,16478,1,afghanistan,Osmosis_Relation_AssociatedStreet,2025-01-04 03:23:44+00:00,street numbers,"addr:housenumber or addr:housename without addr:street, addr:district, addr:neighbourhood, addr:quarter, addr:suburb, addr:place or addr:hamlet must be in a associatedStreet relation",63
62,1070,16474,7,afghanistan,Osmosis_Highway_VS_Building,2025-01-04 03:23:44+00:00,objects overlap,Power object and highway too close,57
63,3032,16466,30322,afghanistan,Sax,2025-01-04 03:23:44+00:00,multiple tags,"{{0.key}}={{0.value}} together with {{1.key}}={{1.value}}, usually {{1.key}}={{1.value}} is located underneath the {{0.value}}. Tag the {{1.key}} as a separate object.",56
64,7040,16476,4,afghanistan,Osmosis_Powerline,2025-01-04 03:23:44+00:00,power lines,Non power node on power way,56
65,1120,16480,2,afghanistan,Osmosis_Highway_Broken_Level_Continuity,2025-01-04 03:23:44+00:00,broken highway continuity,Broken highway level continuity,52
66,3190,16466,31901,afghanistan,Sax,2025-01-04 03:23:44+00:00,postcode,Invalid postcode,51
67,4030,16466,900,afghanistan,Sax,2025-01-04 03:23:44+00:00,incompatible tags,Tag conflict,51
68,9004,16466,9004004,afghanistan,Sax,2025-01-04 03:23:44+00:00,highway,Unspecific highway type,49
69,4061,16466,40611,afghanistan,Sax,2025-01-04 03:23:44+00:00,fixme review,Highway classification needs review,49
70,1090,33545,2,afghanistan,Osmosis_Highway_CulDeSac_Level,2025-01-04 03:23:44+00:00,sudden highway type change,Sudden highway type change (level 2),49
71,7040,16476,6,afghanistan,Osmosis_Powerline,2025-01-04 03:23:44+00:00,power lines,Unfinished power minor line,47
72,3010,16468,4,afghanistan,Osmosis_Roundabout_Level,2025-01-04 03:23:44+00:00,highway roundabout,Roundabout crossing,47
73,2120,16466,21201,afghanistan,Sax,2025-01-04 03:23:44+00:00,indoor,`{{0.key}}={{0.value}}` without `{{1.key}}` or `{{2.key}}`,45
74,5070,16466,50702,afghanistan,Sax,2025-01-04 03:23:44+00:00,invalid character,Non-printable character,44
75,7040,16476,5,afghanistan,Osmosis_Powerline,2025-01-04 03:23:44+00:00,power lines,Missing power tower or pole,39
76,4110,16466,41106,afghanistan,Sax,2025-01-04 03:23:44+00:00,incorrect layer,Long Highway above ground and no bridge,38
77,1070,16474,10,afghanistan,Osmosis_Highway_VS_Building,2025-01-04 03:23:44+00:00,objects overlap,Waterway intersecting waterway,38
78,3010,16468,3,afghanistan,Osmosis_Roundabout_Level,2025-01-04 03:23:44+00:00,highway roundabout,Roundabout shortcut,38
79,4110,16466,41105,afghanistan,Sax,2025-01-04 03:23:44+00:00,incorrect layer,Highway above ground and no bridge,35
80,1170,16484,4,afghanistan,Osmosis_Relation_Multipolygon,2025-01-04 03:23:44+00:00,multipolygon,"Should be polygon, part of multipolygon or not having area tag",34
81,4110,16466,41107,afghanistan,Sax,2025-01-04 03:23:44+00:00,incorrect layer,Waterway/water underground and no tunnel,33
82,7012,16496,6,afghanistan,Osmosis_Highway_Tunnel_Bridge,2025-01-04 03:23:44+00:00,bridge to tag,Bridge connected to non-bridge highway,32
83,1220,16497,1,afghanistan,Osmosis_Waterway,2025-01-04 03:23:44+00:00,waterway,River bank without river,30
84,1170,420327,5,afghanistan,Osmosis_Relation_Open,2025-01-04 03:23:44+00:00,multipolygon,Open relation type=multipolygon,26
85,9002,16466,9002014,afghanistan,Sax,2025-01-04 03:23:44+00:00,deprecated,questionable key (ending with a number),26
86,1210,16492,2,afghanistan,Osmosis_Highway_DeadEnd,2025-01-04 03:23:44+00:00,not-connected highway/cycleway,Unconnected highway,26
87,3031,16466,30316,afghanistan,Sax,2025-01-04 03:23:44+00:00,wikipedia,Duplicate wikipedia tag as suffix and prefix,25
88,4070,16466,40701,afghanistan,Sax,2025-01-04 03:23:44+00:00,construction,Inconsistent tagging of {{1.key}},25
89,5010,16466,803,afghanistan,Sax,2025-01-04 03:23:44+00:00,orthograph,Name with uppercase,24
90,5070,16466,50705,afghanistan,Sax,2025-01-04 03:23:44+00:00,invalid character,Unexpected punctuation in name,24
91,4110,16466,41104,afghanistan,Sax,2025-01-04 03:23:44+00:00,incorrect layer,Long Highway underground and no tunnel,23
92,2130,33547,3,afghanistan,Osmosis_HighwayAreaAccess,2025-01-04 03:23:44+00:00,access,Barrier blocking major highway,22
93,1150,16482,2,afghanistan,Osmosis_Polygon_Overlaps,2025-01-04 03:23:44+00:00,surface intersection,Area intersection `natural`,22
94,2140,16466,21411,afghanistan,Sax,2025-01-04 03:23:44+00:00,public_transport route,Missing public_transport tag on a public transport stop,21
95,1260,24049,6,afghanistan,Osmosis_Relation_Public_Transport,2025-01-04 03:23:44+00:00,public transport,"The bus stop is part of a way, it should have public_transport=stop_position tag",18
96,2010,16470,1,afghanistan,Osmosis_Roundabout,2025-01-04 03:23:44+00:00,junction=roundabout,Missing `junction=roundabout`,18
97,2080,16466,20803,afghanistan,Sax,2025-01-04 03:23:44+00:00,highway,Tag highway missing for tracktype or lanes,17
98,9010,16466,9010003,afghanistan,Sax,2025-01-04 03:23:44+00:00,unnecessary,descriptive name,15
99,1090,33545,1,afghanistan,Osmosis_Highway_CulDeSac_Level,2025-01-04 03:23:44+00:00,sudden highway type change,Sudden highway type change (level 1),15
100,1210,16492,3,afghanistan,Osmosis_Highway_DeadEnd,2025-01-04 03:23:44+00:00,not-connected highway/cycleway,One way inaccessible or missing parking or parking entrance,15
101,1070,16474,11,afghanistan,Osmosis_Highway_VS_Building,2025-01-04 03:23:44+00:00,objects overlap,Waterway overlaps,14
102,4110,16466,41103,afghanistan,Sax,2025-01-04 03:23:44+00:00,incorrect layer,Highway underground and no tunnel,14
103,5070,16466,50704,afghanistan,Sax,2025-01-04 03:23:44+00:00,invalid character,Unbalanced quotation mark or bracket in name,14
104,5080,16466,50802,afghanistan,Sax,2025-01-04 03:23:44+00:00,similar name,{{0.key}} contains the value of {{1.key}},13
105,4061,16466,40613,afghanistan,Sax,2025-01-04 03:23:44+00:00,fixme review,Unspecific value,11
106,1070,16474,16,afghanistan,Osmosis_Highway_VS_Building,2025-01-04 03:23:44+00:00,objects overlap,Commercial object or office and highway too close,11
107,7011,16491,2,afghanistan,Osmosis_Building_Shapes,2025-01-04 03:23:44+00:00,building shape,Special building (large),11
108,5010,16466,50101,afghanistan,Sax,2025-01-04 03:23:44+00:00,orthograph,Name with only numbers,10
109,3030,16466,837055326,afghanistan,Sax,2025-01-04 03:23:44+00:00,tagwatch cleaner,tag,9
110,1170,16466,11702,afghanistan,Sax,2025-01-04 03:23:44+00:00,multipolygon,Inadequate member for multipolygon,9
111,3093,16466,30932,afghanistan,Sax,2025-01-04 03:23:44+00:00,URL,The URL does not have a valid scheme,9
112,9011,16466,9011015,afghanistan,Sax,2025-01-04 03:23:44+00:00,wikipedia,"'{{1.key}}' tag is set, but no '{{0.key}}' tag. Make sure to set 'wikipedia=language:value' for the main article and optional 'wikipedia:language=value' only for additional articles that are not just other language variants of the main article.",9
113,3031,16466,30314,afghanistan,Sax,2025-01-04 03:23:44+00:00,wikipedia,Missing primary Wikipedia tag,9
114,2130,33547,4,afghanistan,Osmosis_HighwayAreaAccess,2025-01-04 03:23:44+00:00,access,Barrier blocking highway,8
115,2030,16468,2,afghanistan,Osmosis_Roundabout_Level,2025-01-04 03:23:44+00:00,oneway,Missing oneway,8
116,9002,16466,9002016,afghanistan,Sax,2025-01-04 03:23:44+00:00,deprecated,{{0.key}}={{0.value}} is not recommended. Use the Reverse Ways function from the Tools menu.,8
117,3060,16466,3060,afghanistan,Sax,2025-01-04 03:23:44+00:00,similar values,Duplicated values,8
118,9000,16466,9000004,afghanistan,Sax,2025-01-04 03:23:44+00:00,addresses,{{0.key}} without number,8
119,1250,16501,1,afghanistan,Osmosis_Highway_Bad_Intersection,2025-01-04 03:23:44+00:00,objects intersection,Intersection of unrelated highway and power objects,8
120,3091,16466,30916,afghanistan,Sax,2025-01-04 03:23:44+00:00,numeric value,Invalid value of charge,7
121,3010,16468,1,afghanistan,Osmosis_Roundabout_Level,2025-01-04 03:23:44+00:00,highway roundabout,Wrong highway on roundabout,6
122,4110,16466,41101,afghanistan,Sax,2025-01-04 03:23:44+00:00,incorrect layer,Landuse feature not on ground,6
123,3091,16466,3091,afghanistan,Sax,2025-01-04 03:23:44+00:00,numeric value,Invalid numerical value,6
124,4110,16466,41100,afghanistan,Sax,2025-01-04 03:23:44+00:00,incorrect layer,Long Waterway/water above ground and no bridge,6
125,9003,16466,9003012,afghanistan,Sax,2025-01-04 03:23:44+00:00,geometry,{{0.key}} on a relation,6
126,9007,16466,9007001,afghanistan,Sax,2025-01-04 03:23:44+00:00,relation,missing tag,5
127,4130,29316,1,afghanistan,Osmosis_Wikipedia,2025-01-04 03:23:44+00:00,duplicate wikipedia,Duplicate wikipedia tag,5
128,1110,16479,1,afghanistan,Osmosis_Highway_Link,2025-01-04 03:23:44+00:00,bad *_link highway,Bad *_link highway,5
129,4110,16466,41109,afghanistan,Sax,2025-01-04 03:23:44+00:00,incorrect layer,Waterway/water above ground and no bridge,5
130,3091,16466,3092,afghanistan,Sax,2025-01-04 03:23:44+00:00,numeric value,Suspicious numerical value,5
131,3220,16466,32201,afghanistan,Sax,2025-01-04 03:23:44+00:00,access,Overly permissive access,5
132,1110,16479,3,afghanistan,Osmosis_Highway_Link,2025-01-04 03:23:44+00:00,bad *_link highway,Bad *_link highway,5
133,3250,16466,32501,afghanistan,Sax,2025-01-04 03:23:44+00:00,opening hours,Invalid Opening Hours,5
134,3080,16466,30801,afghanistan,Sax,2025-01-04 03:23:44+00:00,swimming pool,Suspicious tag association - possible confusion between swimming_pool and sports_centre,4
135,7011,16491,1,afghanistan,Osmosis_Building_Shapes,2025-01-04 03:23:44+00:00,building shape,Special building (round),4
136,4080,16477,2,afghanistan,Osmosis_Double_Tagging,2025-01-04 03:23:44+00:00,duplicate object,Object tagged twice as way and relation,4
137,1190,444615,11,afghanistan,Osmosis_Way_Suspicious_Angle,2025-01-04 03:23:44+00:00,approximate way,Suspicious angle in way,4
138,7012,16496,1,afghanistan,Osmosis_Highway_Tunnel_Bridge,2025-01-04 03:23:44+00:00,bridge to tag,Bridge structure missing,4
139,1160,16481,1,afghanistan,Osmosis_Relation_Large,2025-01-04 03:23:44+00:00,big relation,Large relation,4
140,1220,16466,12200,afghanistan,Sax,2025-01-04 03:23:44+00:00,waterway,Closed waterway,4
141,7012,16496,4,afghanistan,Osmosis_Highway_Tunnel_Bridge,2025-01-04 03:23:44+00:00,bridge to tag,Bridge connected to crossing non-bridge highway,4
142,1200,16466,12001,afghanistan,Sax,2025-01-04 03:23:44+00:00,1-member relation,1-member relation,4
143,9014,16466,9014009,afghanistan,Sax,2025-01-04 03:23:44+00:00,public transport,"Missing transportation mode, add a tag route = bus/coach/tram/etc",4
144,3031,16466,30315,afghanistan,Sax,2025-01-04 03:23:44+00:00,wikipedia,Invalid wikipedia suffix,3
145,9005,16466,9005001,afghanistan,Sax,2025-01-04 03:23:44+00:00,multiple,{{0.key}} with multiple values,3
146,1210,16492,1,afghanistan,Osmosis_Highway_DeadEnd,2025-01-04 03:23:44+00:00,not-connected highway/cycleway,Unconnected cycleway,3
147,3130,16466,31302,afghanistan,Sax,2025-01-04 03:23:44+00:00,brand in name,Operator can be completed with operator:wikidata,3
148,9006,16466,9006022,afghanistan,Sax,2025-01-04 03:23:44+00:00,numeric,Airport tagging,3
149,1230,16498,3,afghanistan,Osmosis_Duplicated_Geotag,2025-01-04 03:23:44+00:00,duplicate geometry,Duplicated node geometry and tags,3
150,7130,16466,71301,afghanistan,Sax,2025-01-04 03:23:44+00:00,tunnel/bridge,Missing maxheight tag,3
151,3031,427620,3,afghanistan,Wikidata,2024-12-29 14:28:58+00:00,wikipedia,Redirected value for Wikidata tag,3
152,0,16472,3,afghanistan,Osmosis_Building_Overlaps,2025-01-04 03:23:44+00:00,overlapping building,Building too small,3
153,9015,16466,9015044,afghanistan,Sax,2025-01-04 03:23:44+00:00,openrailwaymap,{{0.key}}={{0.value}} without name,3
154,9006,16466,9006009,afghanistan,Sax,2025-01-04 03:23:44+00:00,numeric,{{0.key}} must be a positive integer number,3
155,8300,33548,9,afghanistan,Merge_Traffic_Signs,2025-01-04 03:23:44+00:00,traffic signs,Unmapped max speed limit 50,3
156,9002,16466,9002004,afghanistan,Sax,2025-01-04 03:23:44+00:00,deprecated,{{0.key}}={{0.value}} is unspecific. Instead of '{{0.value}}' please give more information about what exactly should be fixed.,3
157,9006,16466,9006032,afghanistan,Sax,2025-01-04 03:23:44+00:00,numeric,"unusual value of {{0.key}}: meters is default; only positive values; point is decimal separator; if units, put space then unit",3
158,9006,16466,9006004,afghanistan,Sax,2025-01-04 03:23:44+00:00,numeric,{{0.key}} should have numbers only with optional .5 increments,3
159,2010,16470,2,afghanistan,Osmosis_Roundabout,2025-01-04 03:23:44+00:00,junction=roundabout,Roundabout without right of way,3
160,3220,16466,32200,afghanistan,Sax,2025-01-04 03:23:44+00:00,access,Overly permissive access,3
161,9004,16466,9004001,afghanistan,Sax,2025-01-04 03:23:44+00:00,highway,abbreviated street name,3
162,1190,33546,10,afghanistan,Osmosis_Way_Approximate,2025-01-04 03:23:44+00:00,approximate way,Approximate geometry of railway,3
163,6060,16487,3,afghanistan,Osmosis_Boundary_Administrative,2025-01-04 03:23:44+00:00,erroneous boundary,Lone boundary fragment,3
164,2080,16466,20805,afghanistan,Sax,2025-01-04 03:23:44+00:00,highway,footway=sidewalk without highway=footway|construction|proposed,2
165,1070,440857,15,afghanistan,Osmosis_Polygon_Intersects,2025-01-04 03:23:44+00:00,objects overlap,Bad intersection with aeroway,2
166,9003,16466,9003013,afghanistan,Sax,2025-01-04 03:23:44+00:00,geometry,{{1.key}}={{1.value}} is the tag for the linear waterway. To tag the water area use natural=water + water=* instead.,2
167,4010,16466,4010,afghanistan,Sax,2025-01-04 03:23:44+00:00,disused,Deprecated tag,2
168,5010,16466,902,afghanistan,Sax,2025-01-04 03:23:44+00:00,orthograph,Initial stuck to the name,2
169,1120,16480,1,afghanistan,Osmosis_Highway_Broken_Level_Continuity,2025-01-04 03:23:44+00:00,broken highway continuity,Broken highway level continuity,2
170,1050,16467,1,afghanistan,Osmosis_Roundabout_Reverse,2025-01-04 03:23:44+00:00,reverse roundabout,Reverse roundabout,2
171,9100,16466,91002,afghanistan,Sax,2025-01-04 03:23:44+00:00,power transformer,On Power Transformers use voltage:primary=* and voltage:secondary=* in place of voltage,2
172,3091,16466,30914,afghanistan,Sax,2025-01-04 03:23:44+00:00,numeric value,Bad colour name,2
173,2140,16466,21412,afghanistan,Sax,2025-01-04 03:23:44+00:00,public_transport route,Missing legacy tag on a public transport stop,2
174,3160,16466,31608,afghanistan,Sax,2025-01-04 03:23:44+00:00,"incorrect ""lanes""","Conflict between lanes number of same suffix ("""", forward, backward or both_ways)",2
175,9003,16466,9003001,afghanistan,Sax,2025-01-04 03:23:44+00:00,geometry,{{0.key}}={{0.value}} on a node. Should be used on a way.,2
176,3093,16466,30931,afghanistan,Sax,2025-01-04 03:23:44+00:00,URL,The URL contains a space,2
177,7090,16490,3,afghanistan,Osmosis_Highway_Features,2025-01-04 03:23:44+00:00,node on ways,Lone highway or barrier node,2
178,1140,16483,1,afghanistan,Osmosis_Useless,2025-01-04 03:23:44+00:00,missing tag or role,Missing tag or role on node,2
179,1060,16485,1,afghanistan,Osmosis_Boundary_Intersect,2025-01-04 03:23:44+00:00,boundary intersect,Boundary intersection,2
180,9005,16466,9005002,afghanistan,Sax,2025-01-04 03:23:44+00:00,multiple,empty value in semicolon-separated '{{0.key}}',2
181,3030,16466,259473529,afghanistan,Sax,2025-01-04 03:23:44+00:00,tagwatch cleaner,typo-tag,2
182,9004,16466,9004008,afghanistan,Sax,2025-01-04 03:23:44+00:00,highway,wrong highway tag on a node,2
183,3031,427620,4,afghanistan,Wikidata,2024-12-29 14:28:58+00:00,wikipedia,The distance between OSM object and linked Wikidata item is unusually large,1
184,3091,16466,30912,afghanistan,Sax,2025-01-04 03:23:44+00:00,numeric value,Invalid capacity value,1
185,9002,16466,9002019,afghanistan,Sax,2025-01-04 03:23:44+00:00,deprecated,wrong value: {{0.key}}={{0.value}},1
186,3032,16466,30327,afghanistan,Sax,2025-01-04 03:23:44+00:00,multiple tags,Waterway with `level`,1
187,1290,416586,1,afghanistan,Osmosis_Camp_Pitch_Out_Of_Camp_Site,2025-01-04 03:23:44+00:00,related objects,Camp pitches outside a camp site,1
188,8300,33548,38,afghanistan,Merge_Traffic_Signs,2025-01-04 03:23:44+00:00,traffic signs,Unmapped traffic signals,1
189,2120,16466,21202,afghanistan,Sax,2025-01-04 03:23:44+00:00,indoor,`{{0.key}}={{0.value}}` without `{{1.key}}`,1
190,7040,16476,3,afghanistan,Osmosis_Powerline,2025-01-04 03:23:44+00:00,power lines,Connection between different voltages,1
191,3161,16500,3,afghanistan,Osmosis_Parking_highway,2025-01-04 03:23:44+00:00,parking lane,Inconsistent access of parking,1
192,9002,16466,9002017,afghanistan,Sax,2025-01-04 03:23:44+00:00,deprecated,The key {{1.key}} has an uncommon value.,1
193,3170,16466,31700,afghanistan,Sax,2025-01-04 03:23:44+00:00,relation role,Inadequate role,1
194,1260,24049,10,afghanistan,Osmosis_Relation_Public_Transport,2025-01-04 03:23:44+00:00,public transport,Stop position without platform nor bus stop,1
195,3020,16466,706,afghanistan,Sax,2025-01-04 03:23:44+00:00,bad source tag,Illegal or incomplete source tag,1
196,7120,16493,4,afghanistan,Osmosis_Boundary_Relation,2025-01-04 03:23:44+00:00,relation type=boundary,Missing wikipedia tag,1
197,9006,16466,9006023,afghanistan,Sax,2025-01-04 03:23:44+00:00,numeric,negative {{0.key}} value,1
198,5070,16466,50703,afghanistan,Sax,2025-01-04 03:23:44+00:00,invalid character,Unexpected symbol in name,1
199,3031,427620,2,afghanistan,Wikidata,2024-12-29 14:28:58+00:00,wikipedia,Wikidata item does not exist,1
200,9002,16466,9002002,afghanistan,Sax,2025-01-04 03:23:44+00:00,deprecated,"'access=designated' is meaningless, use more specific tags, e.g. 'bicycle=designated'",1
201,3090,16466,3090,afghanistan,Sax,2025-01-04 03:23:44+00:00,date,Bad date format,1
202,9006,16466,9006008,afghanistan,Sax,2025-01-04 03:23:44+00:00,numeric,{{0.key}} must be a numeric value,1
203,7090,16490,1,afghanistan,Osmosis_Highway_Features,2025-01-04 03:23:44+00:00,node on ways,Missing way on level crossing,1
204,1170,16484,1,afghanistan,Osmosis_Relation_Multipolygon,2025-01-04 03:23:44+00:00,multipolygon,Double inner polygon,1
205,9006,16466,9006011,afghanistan,Sax,2025-01-04 03:23:44+00:00,numeric,"{{0.key}} must be a numeric value, in meters and without units",1
206,0,16472,5,afghanistan,Osmosis_Building_Overlaps,2025-01-04 03:23:44+00:00,overlapping building,Large building intersection cluster,1
207,3100,438507,4,afghanistan,Osmosis_Polygon_Small,2025-01-04 03:23:44+00:00,small land use,Landuse very small,1
208,3091,16466,3094,afghanistan,Sax,2025-01-04 03:23:44+00:00,numeric value,Unknown unit,1
209,3150,16488,1,afghanistan,Osmosis_Tag_Typo,2025-01-04 03:23:44+00:00,typo in tag,Typo in tag,1
210,3210,16499,1,afghanistan,Osmosis_Highway_Noexit,2025-01-04 03:23:44+00:00,noexit,Noexit on node with exit,1
211,3070,16466,3070,afghanistan,Sax,2025-01-04 03:23:44+00:00,multiple values,Multiple values,1
212,7120,16493,1,afghanistan,Osmosis_Boundary_Relation,2025-01-04 03:23:44+00:00,relation type=boundary,Missing `admin_centre` role,1
213,1040,16473,1,afghanistan,Osmosis_Polygon,2025-01-04 03:23:44+00:00,invalid polygon,Invalid polygon,1
214,9006,16466,9006026,afghanistan,Sax,2025-01-04 03:23:44+00:00,numeric,"unusual value of {0.key}: kilometers is default; only positive values; point is decimal separator; if units, put space then unit",1
215,9015,16466,9015001,afghanistan,Sax,2025-01-04 03:23:44+00:00,openrailwaymap,Track tagged with usage=* AND service=* - remove one of these tags,0
